seed,trials,mean_total_cost,mean_energy_cost,mean_demand_cost,mean_peak_power_kw,temperature_violation_rate,terminal_violation_rate
11,5000,24.900795000000002,19.527285,5.3735100000000005,8.7138,0.0256,0.0002
271,5000,24.91254166666667,19.533975,5.378566666666667,8.722,0.0256,0.0004
1234,5000,24.889745,19.51716,5.372585000000001,8.7123,0.0266,0.0004
20260519,5000,24.8667,19.507990000000003,5.35871,8.6898,0.0284,0.0
987654,5000,24.887658333333334,19.51236,5.375298333333333,8.7167,0.0282,0.0002
